Gender	EyeColour
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
M	NotBlue
